case_id,case_kind,expected_type,a,b,provenance
curated_0001,curated,Z/1,-10,-10,coefficient_grid
curated_0002,curated,Z/2,-10,-9,coefficient_grid
curated_0003,curated,Z/2 x Z/2,-9,0,coefficient_grid
curated_0004,curated,Z/3,-9,9,coefficient_grid
curated_0005,curated,Z/4,-2,1,coefficient_grid
curated_0006,curated,Z/5,-432,8208,Adamova_reference
curated_0007,curated,Z/6,0,1,coefficient_grid
curated_0008,curated,Z/7,-43,166,Adamova_reference
curated_0009,curated,Z/8,-44091,3304854,Adamova_reference
curated_0010,curated,Z/9,-219,1654,calibration
curated_0011,curated,Z/10,-58347,3954150,Cremona_66c1_short_model
curated_0012,curated,Z/12,-1947,108214,calibration
curated_0013,curated,Z/2 x Z/4,-12987,-263466,Cremona_15a1_short_model
curated_0014,curated,Z/2 x Z/6,-24003,1296702,calibration
curated_0015,curated,Z/2 x Z/8,-1386747,368636886,Cremona_210e2_short_model
random_00001,random,,-4368,-3664,random_seed_20260220
random_00002,random,,8338,428,random_seed_20260220
random_00003,random,,-853,-3080,random_seed_20260220
random_00004,random,,2286,-7767,random_seed_20260220
random_00005,random,,8210,11,random_seed_20260220
random_00006,random,,4218,7561,random_seed_20260220
random_00007,random,,5632,-2343,random_seed_20260220
random_00008,random,,4504,8173,random_seed_20260220
random_00009,random,,-9479,-5408,random_seed_20260220
random_00010,random,,6267,30,random_seed_20260220
random_00011,random,,-8149,8746,random_seed_20260220
random_00012,random,,1349,-6888,random_seed_20260220
random_00013,random,,-5856,5451,random_seed_20260220
random_00014,random,,-5565,-4112,random_seed_20260220
random_00015,random,,-708,-1954,random_seed_20260220
random_00016,random,,-8045,-5557,random_seed_20260220
random_00017,random,,-2759,-4710,random_seed_20260220
random_00018,random,,-2321,-882,random_seed_20260220
random_00019,random,,-1917,-1044,random_seed_20260220
random_00020,random,,-5983,6233,random_seed_20260220
random_00021,random,,-8767,4186,random_seed_20260220
random_00022,random,,-4612,3585,random_seed_20260220
random_00023,random,,-65,-3816,random_seed_20260220
random_00024,random,,-6772,-9378,random_seed_20260220
random_00025,random,,3132,-7532,random_seed_20260220
