curve_id,a,b
curve_0001,-10,-10
curve_0002,-10,-9
curve_0003,-10,-8
curve_0004,-10,-7
curve_0005,-10,-6
curve_0006,-10,-5
curve_0007,-10,-4
curve_0008,-10,-3
curve_0009,-10,-2
curve_0010,-10,-1
curve_0011,-10,0
curve_0012,-10,1
curve_0013,-10,2
curve_0014,-10,3
curve_0015,-10,4
curve_0016,-10,5
curve_0017,-10,6
curve_0018,-10,7
curve_0019,-10,8
curve_0020,-10,9
curve_0021,-10,10
curve_0022,-9,-10
curve_0023,-9,-9
curve_0024,-9,-8
curve_0025,-9,-7
curve_0026,-9,-6
curve_0027,-9,-5
curve_0028,-9,-4
curve_0029,-9,-3
curve_0030,-9,-2
curve_0031,-9,-1
curve_0032,-9,0
curve_0033,-9,1
curve_0034,-9,2
curve_0035,-9,3
curve_0036,-9,4
curve_0037,-9,5
curve_0038,-9,6
curve_0039,-9,7
curve_0040,-9,8
curve_0041,-9,9
curve_0042,-9,10
curve_0043,-8,-10
curve_0044,-8,-9
curve_0045,-8,-8
curve_0046,-8,-7
curve_0047,-8,-6
curve_0048,-8,-5
curve_0049,-8,-4
curve_0050,-8,-3
curve_0051,-8,-2
curve_0052,-8,-1
curve_0053,-8,0
curve_0054,-8,1
curve_0055,-8,2
curve_0056,-8,3
curve_0057,-8,4
curve_0058,-8,5
curve_0059,-8,6
curve_0060,-8,7
curve_0061,-8,8
curve_0062,-8,9
curve_0063,-8,10
curve_0064,-7,-10
curve_0065,-7,-9
curve_0066,-7,-8
curve_0067,-7,-7
curve_0068,-7,-6
curve_0069,-7,-5
curve_0070,-7,-4
curve_0071,-7,-3
curve_0072,-7,-2
curve_0073,-7,-1
curve_0074,-7,0
curve_0075,-7,1
curve_0076,-7,2
curve_0077,-7,3
curve_0078,-7,4
curve_0079,-7,5
curve_0080,-7,6
curve_0081,-7,7
curve_0082,-7,8
curve_0083,-7,9
curve_0084,-7,10
curve_0085,-6,-10
curve_0086,-6,-9
curve_0087,-6,-8
curve_0088,-6,-7
curve_0089,-6,-6
curve_0090,-6,-5
curve_0091,-6,-4
curve_0092,-6,-3
curve_0093,-6,-2
curve_0094,-6,-1
curve_0095,-6,0
curve_0096,-6,1
curve_0097,-6,2
curve_0098,-6,3
curve_0099,-6,4
curve_0100,-6,5
curve_0101,-6,6
curve_0102,-6,7
curve_0103,-6,8
curve_0104,-6,9
curve_0105,-6,10
curve_0106,-5,-10
curve_0107,-5,-9
curve_0108,-5,-8
curve_0109,-5,-7
curve_0110,-5,-6
curve_0111,-5,-5
curve_0112,-5,-4
curve_0113,-5,-3
curve_0114,-5,-2
curve_0115,-5,-1
curve_0116,-5,0
curve_0117,-5,1
curve_0118,-5,2
curve_0119,-5,3
curve_0120,-5,4
curve_0121,-5,5
curve_0122,-5,6
curve_0123,-5,7
curve_0124,-5,8
curve_0125,-5,9
curve_0126,-5,10
curve_0127,-4,-10
curve_0128,-4,-9
curve_0129,-4,-8
curve_0130,-4,-7
curve_0131,-4,-6
curve_0132,-4,-5
curve_0133,-4,-4
curve_0134,-4,-3
curve_0135,-4,-2
curve_0136,-4,-1
curve_0137,-4,0
curve_0138,-4,1
curve_0139,-4,2
curve_0140,-4,3
curve_0141,-4,4
curve_0142,-4,5
curve_0143,-4,6
curve_0144,-4,7
curve_0145,-4,8
curve_0146,-4,9
curve_0147,-4,10
curve_0148,-3,-10
curve_0149,-3,-9
curve_0150,-3,-8
curve_0151,-3,-7
curve_0152,-3,-6
curve_0153,-3,-5
curve_0154,-3,-4
curve_0155,-3,-3
curve_0156,-3,-1
curve_0157,-3,0
curve_0158,-3,1
curve_0159,-3,3
curve_0160,-3,4
curve_0161,-3,5
curve_0162,-3,6
curve_0163,-3,7
curve_0164,-3,8
curve_0165,-3,9
curve_0166,-3,10
curve_0167,-2,-10
curve_0168,-2,-9
curve_0169,-2,-8
curve_0170,-2,-7
curve_0171,-2,-6
curve_0172,-2,-5
curve_0173,-2,-4
curve_0174,-2,-3
curve_0175,-2,-2
curve_0176,-2,-1
curve_0177,-2,0
curve_0178,-2,1
curve_0179,-2,2
curve_0180,-2,3
curve_0181,-2,4
curve_0182,-2,5
curve_0183,-2,6
curve_0184,-2,7
curve_0185,-2,8
curve_0186,-2,9
curve_0187,-2,10
curve_0188,-1,-10
curve_0189,-1,-9
curve_0190,-1,-8
curve_0191,-1,-7
curve_0192,-1,-6
curve_0193,-1,-5
curve_0194,-1,-4
curve_0195,-1,-3
curve_0196,-1,-2
curve_0197,-1,-1
curve_0198,-1,0
curve_0199,-1,1
curve_0200,-1,2
curve_0201,-1,3
curve_0202,-1,4
curve_0203,-1,5
curve_0204,-1,6
curve_0205,-1,7
curve_0206,-1,8
curve_0207,-1,9
curve_0208,-1,10
curve_0209,0,-10
curve_0210,0,-9
curve_0211,0,-8
curve_0212,0,-7
curve_0213,0,-6
curve_0214,0,-5
curve_0215,0,-4
curve_0216,0,-3
curve_0217,0,-2
curve_0218,0,-1
curve_0219,0,1
curve_0220,0,2
curve_0221,0,3
curve_0222,0,4
curve_0223,0,5
curve_0224,0,6
curve_0225,0,7
curve_0226,0,8
curve_0227,0,9
curve_0228,0,10
curve_0229,1,-10
curve_0230,1,-9
curve_0231,1,-8
curve_0232,1,-7
curve_0233,1,-6
curve_0234,1,-5
curve_0235,1,-4
curve_0236,1,-3
curve_0237,1,-2
curve_0238,1,-1
curve_0239,1,0
curve_0240,1,1
curve_0241,1,2
curve_0242,1,3
curve_0243,1,4
curve_0244,1,5
curve_0245,1,6
curve_0246,1,7
curve_0247,1,8
curve_0248,1,9
curve_0249,1,10
curve_0250,2,-10
curve_0251,2,-9
curve_0252,2,-8
curve_0253,2,-7
curve_0254,2,-6
curve_0255,2,-5
curve_0256,2,-4
curve_0257,2,-3
curve_0258,2,-2
curve_0259,2,-1
curve_0260,2,0
curve_0261,2,1
curve_0262,2,2
curve_0263,2,3
curve_0264,2,4
curve_0265,2,5
curve_0266,2,6
curve_0267,2,7
curve_0268,2,8
curve_0269,2,9
curve_0270,2,10
curve_0271,3,-10
curve_0272,3,-9
curve_0273,3,-8
curve_0274,3,-7
curve_0275,3,-6
curve_0276,3,-5
curve_0277,3,-4
curve_0278,3,-3
curve_0279,3,-2
curve_0280,3,-1
curve_0281,3,0
curve_0282,3,1
curve_0283,3,2
curve_0284,3,3
curve_0285,3,4
curve_0286,3,5
curve_0287,3,6
curve_0288,3,7
curve_0289,3,8
curve_0290,3,9
curve_0291,3,10
curve_0292,4,-10
curve_0293,4,-9
curve_0294,4,-8
curve_0295,4,-7
curve_0296,4,-6
curve_0297,4,-5
curve_0298,4,-4
curve_0299,4,-3
curve_0300,4,-2
curve_0301,4,-1
curve_0302,4,0
curve_0303,4,1
curve_0304,4,2
curve_0305,4,3
curve_0306,4,4
curve_0307,4,5
curve_0308,4,6
curve_0309,4,7
curve_0310,4,8
curve_0311,4,9
curve_0312,4,10
curve_0313,5,-10
curve_0314,5,-9
curve_0315,5,-8
curve_0316,5,-7
curve_0317,5,-6
curve_0318,5,-5
curve_0319,5,-4
curve_0320,5,-3
curve_0321,5,-2
curve_0322,5,-1
curve_0323,5,0
curve_0324,5,1
curve_0325,5,2
curve_0326,5,3
curve_0327,5,4
curve_0328,5,5
curve_0329,5,6
curve_0330,5,7
curve_0331,5,8
curve_0332,5,9
curve_0333,5,10
curve_0334,6,-10
curve_0335,6,-9
curve_0336,6,-8
curve_0337,6,-7
curve_0338,6,-6
curve_0339,6,-5
curve_0340,6,-4
curve_0341,6,-3
curve_0342,6,-2
curve_0343,6,-1
curve_0344,6,0
curve_0345,6,1
curve_0346,6,2
curve_0347,6,3
curve_0348,6,4
curve_0349,6,5
curve_0350,6,6
curve_0351,6,7
curve_0352,6,8
curve_0353,6,9
curve_0354,6,10
curve_0355,7,-10
curve_0356,7,-9
curve_0357,7,-8
curve_0358,7,-7
curve_0359,7,-6
curve_0360,7,-5
curve_0361,7,-4
curve_0362,7,-3
curve_0363,7,-2
curve_0364,7,-1
curve_0365,7,0
curve_0366,7,1
curve_0367,7,2
curve_0368,7,3
curve_0369,7,4
curve_0370,7,5
curve_0371,7,6
curve_0372,7,7
curve_0373,7,8
curve_0374,7,9
curve_0375,7,10
curve_0376,8,-10
curve_0377,8,-9
curve_0378,8,-8
curve_0379,8,-7
curve_0380,8,-6
curve_0381,8,-5
curve_0382,8,-4
curve_0383,8,-3
curve_0384,8,-2
curve_0385,8,-1
curve_0386,8,0
curve_0387,8,1
curve_0388,8,2
curve_0389,8,3
curve_0390,8,4
curve_0391,8,5
curve_0392,8,6
curve_0393,8,7
curve_0394,8,8
curve_0395,8,9
curve_0396,8,10
curve_0397,9,-10
curve_0398,9,-9
curve_0399,9,-8
curve_0400,9,-7
curve_0401,9,-6
curve_0402,9,-5
curve_0403,9,-4
curve_0404,9,-3
curve_0405,9,-2
curve_0406,9,-1
curve_0407,9,0
curve_0408,9,1
curve_0409,9,2
curve_0410,9,3
curve_0411,9,4
curve_0412,9,5
curve_0413,9,6
curve_0414,9,7
curve_0415,9,8
curve_0416,9,9
curve_0417,9,10
curve_0418,10,-10
curve_0419,10,-9
curve_0420,10,-8
curve_0421,10,-7
curve_0422,10,-6
curve_0423,10,-5
curve_0424,10,-4
curve_0425,10,-3
curve_0426,10,-2
curve_0427,10,-1
curve_0428,10,0
curve_0429,10,1
curve_0430,10,2
curve_0431,10,3
curve_0432,10,4
curve_0433,10,5
curve_0434,10,6
curve_0435,10,7
curve_0436,10,8
curve_0437,10,9
curve_0438,10,10
