record_type,metric,value,torsion_type,case_id,case_kind,expected_type,a,b,ours_type,ours_order,sage_type,sage_order,match,detail
summary,status,pass,,,,,,,,,,,,
summary,seed,20260220,,,,,,,,,,,,
summary,a_min,-10000,,,,,,,,,,,,
summary,a_max,10000,,,,,,,,,,,,
summary,b_min,-10000,,,,,,,,,,,,
summary,b_max,10000,,,,,,,,,,,,
summary,zero_coefficient_policy,allowed_if_nonsingular,,,,,,,,,,,,
summary,curated_case_count,15,,,,,,,,,,,,
summary,random_case_count,10000,,,,,,,,,,,,
summary,total_case_count,10015,,,,,,,,,,,,
summary,unique_pair_count,10015,,,,,,,,,,,,
summary,singular_inputs_in_cases,0,,,,,,,,,,,,
summary,random_draw_attempts,10000,,,,,,,,,,,,
summary,singular_redraw_count,0,,,,,,,,,,,,
summary,curated_overlap_redraw_count,0,,,,,,,,,,,,
summary,duplicate_random_redraw_count,0,,,,,,,,,,,,
summary,total_redraw_count,0,,,,,,,,,,,,
summary,random_a_zero_count,2,,,,,,,,,,,,
summary,random_b_zero_count,0,,,,,,,,,,,,
summary,random_any_zero_count,2,,,,,,,,,,,,
summary,match_count,10015,,,,,,,,,,,,
summary,mismatch_count,0,,,,,,,,,,,,
summary,all_15_mazur_types_covered,1,,,,,,,,,,,,
summary,cases_sha256,dd87d3f4933ed7fd89388c97c258f4b13c4946fb5a2108ac8125d1d70fac147b,,,,,,,,,,,,
summary,random_pairs_sha256,28c87949a5d0e0bac14e4cfed0e226d90bc4336a8fe82a5f1cd6fe958932180a,,,,,,,,,,,,
summary,outcomes_sha256,cd2963a645144563c9c04641b57639a5ebcad6a5dd56cfe487f84ed67bdcb920,,,,,,,,,,,,
summary,max_seconds,3600,,,,,,,,,,,,
type_count,,9995,Z/1,,,,,,,,,,,
type_count,,7,Z/2,,,,,,,,,,,
type_count,,1,Z/2 x Z/2,,,,,,,,,,,
type_count,,1,Z/3,,,,,,,,,,,
type_count,,1,Z/4,,,,,,,,,,,
type_count,,1,Z/5,,,,,,,,,,,
type_count,,1,Z/6,,,,,,,,,,,
type_count,,1,Z/7,,,,,,,,,,,
type_count,,1,Z/8,,,,,,,,,,,
type_count,,1,Z/9,,,,,,,,,,,
type_count,,1,Z/10,,,,,,,,,,,
type_count,,1,Z/12,,,,,,,,,,,
type_count,,1,Z/2 x Z/4,,,,,,,,,,,
type_count,,1,Z/2 x Z/6,,,,,,,,,,,
type_count,,1,Z/2 x Z/8,,,,,,,,,,,
